step,start,end
fifth position,00:34.5,00:35.0
coupe,00:35.0,00:35.8
passe,00:35.8,00:36.0
attitude,00:36.0,00:36.8
arabesque,00:36.8,00:40.3
tendu,00:40.3,00:40.5
first position,00:52.0,00:53.0
demi plie,00:53.0,00:55.0
first position,00:55.0,00:56.0
first position,00:58.0,00:59.0
coupe,00:59.0,00:59.8
passe,00:59.8,01:00.3
attitude,01:00.3,01:01.3
developpe,01:01.3,01:04.0
tendu,01:04.0,01:05.0
fifth position,01:05.0,01:05.3
coupe,01:07.0,01:07.8
passe,01:07.8,01:08.8
attitude,01:08.8,01:09.5
developpe,01:09.5,01:11.5
tendu,01:11.5,01:12.0
fifth position,01:25.0,01:26.3
tendu,01:26.3,01:26.5
degage,01:26.5,01:27.0
arabesque,01:27.0,01:28.3
penche,01:28.3,01:32.3
arabesque,01:32.3,01:32.8
degage,01:32.8,01:33.0
tendu,01:33.0,01:33.3
sous sous,01:37.8,01:38.3
coupe,01:38.3,01:38.5
passe,01:38.5,01:43.8
second position,01:46.0,01:50.3
sous sous,01:51.0,01:56.0
tendu,01:57.0,02:01.0
first position,02:20.0,02:21.3
tendu,02:21.3,02:21.5
degage,02:21.5,02:22.0
arabesque,02:22.0,02:26.3
degage,02:26.3,02:26.5
fifth position,02:28.5,02:29.0
tendu,02:29.0,02:29.3
degage,02:29.3,02:29.5
arabesque,02:29.5,02:33.3
degage,02:33.3,02:33.5
tendu,02:33.5,02:33.8
first position,02:38.8,02:39.0
demi plie,02:39.0,02:41.8
first position,02:41.8,02:42.0
fifth position,02:45.5,02:46.0
coupe,02:46.0,02:46.5
passe,02:46.5,02:46.8
attitude,02:46.8,02:47.5
developpe,02:47.5,02:51.5
tendu,02:51.5,02:51.8
fifth position,02:58.0,02:59.0
tendu,02:59.0,03:00.5
degage,03:00.5,03:01.0
arabesque,03:01.0,03:02.0
penche,03:02.0,03:05.5
arabesque,03:05.5,03:05.8
degage,03:05.8,03:06.0
tendu,03:06.0,03:06.3
sous sous,03:10.0,03:10.8
coupe,03:10.8,03:11.3
passe,03:11.3,03:16.0
second position,03:19.0,03:23.0
sous sous,03:24.0,03:30.3
tendu,03:35.0,03:37.0
