step,start,end
fifth position,00:36.5,00:37.0
coupe,00:37.0,00:37.8
passe,00:37.8,00:38.0
attitude,00:38.0,00:38.8
arabesque,00:38.8,00:42.3
tendu,00:42.3,00:42.5
first position,00:54.0,00:55.0
demi plie,00:55.0,00:57.0
first position,00:57.0,00:58.0
first position,01:00.0,01:01.0
coupe,01:01.0,01:01.8
passe,01:01.8,01:02.3
attitude,01:02.3,01:03.3
developpe,01:03.3,01:06.0
tendu,01:06.0,01:07.0
fifth position,01:07.0,01:07.3
coupe,01:09.0,01:09.8
passe,01:09.8,01:10.8
attitude,01:10.8,01:11.5
developpe,01:11.5,01:13.5
tendu,01:13.5,01:14.0
fifth position,01:27.0,01:28.3
tendu,01:28.3,01:28.5
degage,01:28.5,01:29.0
arabesque,01:29.0,01:30.3
penche,01:30.3,01:34.3
arabesque,01:34.3,01:34.8
degage,01:34.8,01:35.0
tendu,01:35.0,01:35.3
sous sous,01:39.8,01:40.3
coupe,01:40.3,01:40.5
passe,01:40.5,01:45.8
second position,01:48.0,01:52.3
sous sous,01:53.0,01:58.0
tendu,01:59.0,02:03.0
first position,02:22.0,02:23.3
tendu,02:23.3,02:23.5
degage,02:23.5,02:24.0
arabesque,02:24.0,02:28.3
degage,02:28.3,02:28.5
fifth position,02:30.5,02:31.0
tendu,02:31.0,02:31.3
degage,02:31.3,02:31.5
arabesque,02:31.5,02:35.3
degage,02:35.3,02:35.5
tendu,02:35.5,02:35.8
first position,02:40.8,02:41.0
demi plie,02:41.0,02:43.8
first position,02:43.8,02:44.0
fifth position,02:47.5,02:48.0
coupe,02:48.0,02:48.5
passe,02:48.5,02:48.8
attitude,02:48.8,02:49.5
developpe,02:49.5,02:53.5
tendu,02:53.5,02:53.8
fifth position,03:00.0,03:01.0
tendu,03:01.0,03:02.5
degage,03:02.5,03:03.0
arabesque,03:03.0,03:04.0
penche,03:04.0,03:07.5
arabesque,03:07.5,03:07.8
degage,03:07.8,03:08.0
tendu,03:08.0,03:08.3
sous sous,03:12.0,03:12.8
coupe,03:12.8,03:13.3
passe,03:13.3,03:18.0
second position,03:21.0,03:25.0
sous sous,03:26.0,03:32.3
tendu,03:37.0,03:39.0
